Places,Rating,Cost
Netaji subash Ch. Busstand,4.6,100
Barabati Fort,4.5,200
Barabati Stadium,4.6,250
Maa Cuttack Chandi Temple,4.7,200
Netaji Birth Place Museum,4.6,100
Shree Singhanath Temple,4.6,200
Paradeep Sea Beach,4.3,200
Shree Dhabaleswar Temple,4.5,150
Odisha Maritime Museum,4.5,50
Deer Park,4.4,30
Baliyatra Ground,4,40
Anshupa Lake,4.3,100
Peacock Valley,4.5,120
Mahanadi (T) Bridge,3.9,70
State Botanical Garden,4.1,70
Maa Charchika Temple,4.2,100
Chaudwar,3.9,120
