node1,node2,distance(Km.)
sakhi gopal temple,sudarshan crafts museum,24
sakhi gopal temple,gundicha temple,24
sakhi gopal temple,raghurajpur artistic village,30
sakhi gopal temple,markandeswar temple,18
sakhi gopal temple,lakshmi temple,17
sakhi gopal temple,swargadwar beach,16
sakhi gopal temple,vimala temple,17.5
sakhi gopal temple,lokanath temple,18
sakhi gopal temple,alarnatha temple,16.5
sakhi gopal temple,baliharachandi beach,35
sakhi gopal temple,mausima temple,17
sakhi gopal temple, wonder world water park,28
sakhi gopal temple,konark temple,48
sakhi gopal temple,pipili,21
lakshmi temple,puri bus stand,3
lakshmi temple,Sri jagannath puri temple,1
lakshmi temple,Puri beach,2
lakshmi temple,Narendra tank,1.5
lakshmi temple,sudarshan crafts museum,2.5
lakshmi temple,gundicha temple,4
lakshmi temple,raghurajpur artistic village,16
lakshmi temple,markandeswar temple,2
lakshmi temple,sakhi gopal temple,17
lakshmi temple,swargadwar beach,1.5
lakshmi temple,vimala temple,2
lakshmi temple,lokanath temple,2.5
lakshmi temple,alarnatha temple,3
lakshmi temple,baliharachandi beach,21
lakshmi temple,mausima temple,2
lakshmi temple, wonder world water park,14
lakshmi temple,konark temple,37
lakshmi temple,pipili,38.5
swargadwar beach,puri bus stand,3.6
swargadwar beach,Sri jagannath puri temple,2
swargadwar beach,Puri beach,1
swargadwar beach,Narendra tank,2
swargadwar beach,sudarshan crafts museum,2
swargadwar beach,gundicha temple,3
swargadwar beach,raghurajpur artistic village,17
swargadwar beach,markandeswar temple,3
swargadwar beach,sakhi gopal temple,16
swargadwar beach,lakshmi temple,1.5
swargadwar beach,vimala temple,2
swargadwar beach,lokanath temple,2.5
swargadwar beach,alarnatha temple,3
swargadwar beach,baliharachandi beach,22
swargadwar beach,mausima temple,2.5
swargadwar beach, wonder world water park,14
swargadwar beach,konark temple,36
swargadwar beach,pipili,38
vimala temple,puri bus stand,1
vimala temple,Sri jagannath puri temple,1
vimala temple,Puri beach,2
vimala temple,Narendra tank,1.5
vimala temple,sudarshan crafts museum,2.5
vimala temple,gundicha temple,4
vimala temple,raghurajpur artistic village,16
vimala temple,markandeswar temple,2
vimala temple,sakhi gopal temple,17.5
vimala temple,lakshmi temple,2
vimala temple,swargadwar beach,2
vimala temple,lokanath temple,1
vimala temple,alarnatha temple,2
vimala temple,baliharachandi beach,21.5
vimala temple,mausima temple,3
vimala temple, wonder world water park,13
vimala temple,konark temple,37.5
vimala temple,pipili,38.5
lokanath temple,puri bus stand,3.7
lokanath temple,Sri jagannath puri temple,3
lokanath temple,Puri beach,2
lokanath temple,Narendra tank,2.5
lokanath temple,sudarshan crafts museum,3.5
lokanath temple,gundicha temple,5
lokanath temple,raghurajpur artistic village,18
lokanath temple,markandeswar temple,4
lokanath temple,sakhi gopal temple,18
lokanath temple,lakshmi temple,2.5
lokanath temple,swargadwar beach,2.5
lokanath temple,vimala temple,1
lokanath temple,alarnatha temple,1.5
lokanath temple,baliharachandi beach,21
lokanath temple,mausima temple,2
lokanath temple, wonder world water park,14
lokanath temple,konark temple,38
lokanath temple,pipili,40
alarnatha temple,puri bus stand,3
alarnatha temple,Sri jagannath puri temple,2
alarnatha temple,Puri beach,3
alarnatha temple,Narendra tank,2.5
alarnatha temple,sudarshan crafts museum,3
alarnatha temple,gundicha temple,3.5
alarnatha temple,raghurajpur artistic village,20
alarnatha temple,markandeswar temple,3.5
alarnatha temple,sakhi gopal temple,16.5
alarnatha temple,lakshmi temple,2.5
alarnatha temple,swargadwar beach,3
alarnatha temple,vimala temple,2
alarnatha temple,lokanath temple,1.5
alarnatha temple,baliharachandi beach,22
alarnatha temple,mausima temple,2.5
alarnatha temple, wonder world water park,13
alarnatha temple,konark temple,37
alarnatha temple,pipili,38.5
baliharachandi beach,puri bus stand,21
baliharachandi beach,Sri jagannath puri temple,20
baliharachandi beach,Puri beach,18
baliharachandi beach,Narendra tank,17
baliharachandi beach,sudarshan crafts museum,23
baliharachandi beach,gundicha temple,24
baliharachandi beach,raghurajpur artistic village,38
baliharachandi beach,markandeswar temple,22
baliharachandi beach,sakhi gopal temple,35
baliharachandi beach,lakshmi temple,21
baliharachandi beach,swargadwar beach,22
baliharachandi beach,vimala temple,21.5
baliharachandi beach,lokanath temple,21
baliharachandi beach,alarnatha temple,22
baliharachandi beach,mausima temple,22
baliharachandi beach, wonder world water park,32
baliharachandi beach,konark temple,46
baliharachandi beach,pipili,48
mausima temple,puri bus stand,1
mausima temple,Sri jagannath puri temple,2
mausima temple,Puri beach,3
mausima temple,Narendra tank,2
mausima temple,sudarshan crafts museum,4
mausima temple,gundicha temple,3
mausima temple,raghurajpur artistic village,18
mausima temple,markandeswar temple,3.5
mausima temple,sakhi gopal temple,17
mausima temple,lakshmi temple,2
mausima temple,swargadwar beach,2.5
mausima temple,vimala temple,3
mausima temple,lokanath temple,2
mausima temple,alarnatha temple,2.5
mausima temple,baliharachandi beach,22
mausima temple, wonder world water park,14.5
mausima temple,konark temple,36.5
mausima temple,pipili,38
 wonder world water park,puri bus stand,10
 wonder world water park,Sri jagannath puri temple,12
 wonder world water park,Puri beach,14
 wonder world water park,Narendra tank,13
 wonder world water park,sudarshan crafts museum,15
 wonder world water park,gundicha temple,16
 wonder world water park,raghurajpur artistic village,28
 wonder world water park,markandeswar temple,14
 wonder world water park,sakhi gopal temple,28
 wonder world water park,lakshmi temple,14
 wonder world water park,swargadwar beach,14
 wonder world water park,vimala temple,13
 wonder world water park,lokanath temple,14
 wonder world water park,alarnatha temple,13
 wonder world water park,baliharachandi beach,32
 wonder world water park,mausima temple,14.5
