Places,Rating,Cost
Sri jagannath puri temple,4.5,1000
Puri beach,4,200
Narendra tank,4,50
sudarshan crafts museum,3.5,20
gundicha temple,4.5,50
raghurajpur artist village,4,400
markandeswar temple,3.5,50
sakhi gopal temple,4,50
lakshmi temple,3,30
swargadwar beach,4,200
vimala temple,3.5,20
lokanath temple,3.5,30
alarnatha temple,3,40
baliharachandi beach,4,400
mausima temple,3.5,30
 wonder world water park,4.5,1000
konark temple,4.5,500
pipili,4,300
