node1,node2,distance(Km.)
Paradeep Sea Beach,Maa Cuttack Chandi Temple,97.8
Paradeep Sea Beach,Netaji Birth Place Museum,93.7
Paradeep Sea Beach,Shree Singhanath Temple,120
Paradeep Sea Beach,Paradeep Sea Beach,0
Paradeep Sea Beach,Shree Dhabaleswar Temple,124
Paradeep Sea Beach,Odisha Maritime Museum,94
Paradeep Sea Beach,Deer Park,98
Paradeep Sea Beach,Baliyatra Ground,97
Paradeep Sea Beach,Anshupa Lake,135
Paradeep Sea Beach,Peacock Valley,109
Paradeep Sea Beach,Mahanadi (T) Bridge,100
Paradeep Sea Beach,State Botanical Garden,115
Paradeep Sea Beach,Maa Charchika Temple,103
Paradeep Sea Beach,Chaudwar,104
Shree Dhabaleswar Temple,Netaji subash Ch. Busstand,34.4
Shree Dhabaleswar Temple,Barabati Fort,38.6
Shree Dhabaleswar Temple,Barabati Stadium,37.8
Shree Dhabaleswar Temple,Maa Cuttack Chandi Temple,38.1
Shree Dhabaleswar Temple,Netaji Birth Place Museum,34.2
Shree Dhabaleswar Temple,Shree Singhanath Temple,70
Shree Dhabaleswar Temple,Paradeep Sea Beach,124
Shree Dhabaleswar Temple,Shree Dhabaleswar Temple,0
Shree Dhabaleswar Temple,Odisha Maritime Museum,37
Shree Dhabaleswar Temple,Deer Park,41
Shree Dhabaleswar Temple,Baliyatra Ground,40
Shree Dhabaleswar Temple,Anshupa Lake,68
Shree Dhabaleswar Temple,Peacock Valley,44
Shree Dhabaleswar Temple,Mahanadi (T) Bridge,43
Shree Dhabaleswar Temple,State Botanical Garden,21
Shree Dhabaleswar Temple,Maa Charchika Temple,13
Shree Dhabaleswar Temple,Chaudwar,46
Odisha Maritime Museum,Netaji subash Ch. Busstand,4.4
Odisha Maritime Museum,Barabati Fort,5
Odisha Maritime Museum,Barabati Stadium,4.5
Odisha Maritime Museum,Maa Cuttack Chandi Temple,5.4
Odisha Maritime Museum,Netaji Birth Place Museum,4.2
Odisha Maritime Museum,Shree Singhanath Temple,70
Odisha Maritime Museum,Paradeep Sea Beach,94
Odisha Maritime Museum,Shree Dhabaleswar Temple,37
Odisha Maritime Museum,Odisha Maritime Museum,0
Odisha Maritime Museum,Deer Park,3.9
Odisha Maritime Museum,Baliyatra Ground,3.5
